gmap_id,name,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x809b1f406bb37565:0x52e2601e5bf57b2f,Pottery World Cafe,38.796600999999995,-121.2144314,"['Restaurant', 'Breakfast restaurant', 'Brunch restaurant', 'Cafe', 'Coffee shop', 'Dessert shop', 'Sandwich shop']",4.9,144,,"[['Saturday', '8AM–3:30PM'], ['Sunday', '8AM–3:30PM'], ['Monday', '8AM–3:30PM'], ['Tuesday', '8AM–3:30PM'], ['Wednesday', '8AM–3:30PM'], ['Thursday', '8AM–3:30PM'], ['Friday', '8AM–3:30PM']]"
0x808e1b3148b2a4b9:0xf1f9dfae73f01527,Camino Real Café,36.904171,-121.7485962,"['Mexican restaurant', 'Cafe', 'Latin American restaurant', 'Restaurant']",4.5,108,,"[['Saturday', '7:30AM–1PM'], ['Sunday', '7:30AM–1PM'], ['Monday', '7AM–6PM'], ['Tuesday', '7AM–6PM'], ['Wednesday', '7AM–6PM'], ['Thursday', '7AM–6PM'], ['Friday', '7AM–6PM']]"
0x80c2cf7b612d080d:0xe424922d6cfd367f,La Farfala Coffee Shop & Deli,34.0400649,-118.1690757,"['Coffee shop', 'Store']",4.2,118,$$,"[['Wednesday', '8AM–7PM'], ['Thursday', '8AM–7PM'], ['Friday', '8AM–7PM'], ['Saturday', '10AM–7PM'], ['Sunday', '10AM–4PM'], ['Monday', '8AM–7PM'], ['Tuesday', '8AM–7PM']]"
0x80c2b585713b186d:0x2fb983d968650d1c,Cyber City Esports Center | Gardena,33.8895415,-118.30724439999999,"['Internet cafe', 'Video game rental store', 'Video game store']",4.7,118,,"[['Tuesday', '10AM–2AM'], ['Wednesday', '10AM–2AM'], ['Thursday', '10AM–2AM'], ['Friday', '10AM–2AM'], ['Saturday', '10AM–2AM'], ['Sunday', '10AM–2AM'], ['Monday', '10AM–2AM']]"
0x80c2c9515834af2b:0x221ce9eab18ec382,Chacui's,33.9586541,-118.21193129999999,['Coffee shop'],4.6,148,$,"[['Monday', '7AM–9PM'], ['Tuesday', '7AM–9PM'], ['Wednesday', '7AM–9PM'], ['Thursday', '7AM–9PM'], ['Friday', '7AM–9PM'], ['Saturday', '7AM–9PM'], ['Sunday', '7AM–9PM']]"
0x80c2bd772661af87:0x10603f75d9fd41c2,Jayde’s Market,34.1278919,-118.4444561,"['Grocery store', 'Cafe', 'Deli', 'Flower market', 'Liquor store', 'Wine store']",4.5,118,,"[['Sunday', '8AM–8PM'], ['Monday', '8AM–8PM'], ['Tuesday', '8AM–8PM'], ['Wednesday', '8AM–8PM'], ['Thursday', '8AM–8PM'], ['Friday', '8AM–8PM'], ['Saturday', '8AM–8PM']]"
0x80c2c648b11883a7:0xb67ee383192237d8,DRNK coffee + tea,34.0525534,-118.24197129999999,"['Coffee shop', 'Cafe', 'Health food restaurant', 'Tea house']",4.1,148,,"[['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '6:30AM–5PM'], ['Tuesday', '6:30AM–5PM'], ['Wednesday', '6:30AM–5PM'], ['Thursday', '6:30AM–5PM'], ['Friday', '6:30AM–5PM']]"
0x80c2bbae0db7f63b:0xd4c0580fde06e070,Boba Time,34.027430599999995,-118.4294492,"['Frozen yogurt shop', 'Bubble tea store', 'Coffee shop']",3.0,188,$,
0x809ad0c3a057e481:0x4f5df97475a3f183,The Trade Coffee & Coworking,38.5744669,-121.4769242,"['Coworking space', 'Coffee shop']",4.6,105,,"[['Tuesday', '7AM–5PM'], ['Wednesday', '7AM–5PM'], ['Thursday', '7AM–5PM'], ['Friday', '7AM–5PM'], ['Saturday', '8AM–5PM'], ['Sunday', '8AM–5PM'], ['Monday', '7AM–5PM']]"
0x808fccbbd18aa865:0x53ec7b75291f7eae,Circle-A Skateboards and Coffee,37.3334165,-121.8860302,"['Cafe', 'Clothing store', 'Shoe store', 'Skateboard shop']",4.6,118,,"[['Tuesday', '8AM–6PM'], ['Wednesday', '8AM–6PM'], ['Thursday', '8AM–6PM'], ['Friday', '8AM–6PM'], ['Saturday', '8AM–6PM'], ['Sunday', '8AM–6PM'], ['Monday', '8AM–6PM']]"
0x80c2bb097e8c2b83:0xba3d7865bf044700,Top Tier Treats,34.033285,-118.44289099999999,"['Bakery', 'Coffee shop', 'Dessert shop', 'Wedding bakery']",4.5,138,$$,"[['Tuesday', '8AM–4PM'], ['Wednesday', '8AM–4PM'], ['Thursday', '8AM–4PM'], ['Friday', '8AM–4PM'], ['Saturday', '8AM–4PM'], ['Sunday', 'Closed'], ['Monday', '8AM–4PM']]"
0x80c2dad4571202a7:0x28aeb3070f4073b,Love to Go - Coffee + Tea,34.0982194,-118.10920279999999,"['Restaurant', 'Cafe', 'Coffee shop', 'Dessert shop', 'Ice cream shop', 'Tea house']",4.5,166,$,"[['Sunday', 'Closed'], ['Monday', '4PM–2AM'], ['Tuesday', '4PM–2AM'], ['Wednesday', '4PM–2AM'], ['Thursday', '4PM–2AM'], ['Friday', '4PM–2AM'], ['Saturday', 'Closed']]"
0x808f7d904f0693eb:0x2407a893034a84ae,Antigua Coffee Shop,37.7427876,-122.4784193,['Coffee shop'],4.6,117,$,"[['Sunday', '7AM–2PM'], ['Monday', '7AM–2PM'], ['Tuesday', '7AM–2PM'], ['Wednesday', '7AM–2PM'], ['Thursday', '7AM–2PM'], ['Friday', '7AM–2PM'], ['Saturday', '7AM–2PM']]"
0x808ff34a915784a1:0xe2f09d66895194d6,Starbucks,37.810266999999996,-121.99017699999999,"['Coffee shop', 'Breakfast restaurant', 'Cafe', 'Coffee store', 'Espresso bar', 'Internet cafe']",4.2,113,$$,"[['Sunday', '6AM–5PM'], ['Monday', '6AM–5PM'], ['Tuesday', '6AM–5PM'], ['Wednesday', '6AM–5PM'], ['Thursday', '6AM–5PM'], ['Friday', '6AM–5PM'], ['Saturday', '6AM–5PM']]"
0x80e824f272e65323:0x79bfb59f676d9ebc,JOi Café // Coffee by JOi,34.1510107,-118.8236749,"['Cafe', 'American restaurant', 'Coffee shop', 'Health food restaurant', 'Juice shop', 'Nutritionist', 'Tea house', 'Vegan restaurant', 'Vegetarian restaurant']",4.3,156,$$,"[['Saturday', '7:30AM–8PM'], ['Sunday', '7:30AM–4PM'], ['Monday', '7:30AM–8PM'], ['Tuesday', '7:30AM–8PM'], ['Wednesday', '7:30AM–8PM'], ['Thursday', '7:30AM–8PM'], ['Friday', '7:30AM–8PM']]"
